Date,HDFCBANK,ICICIBANK,SBIN,KOTAKBANK,AXISBANK,TCS,INFY,WIPRO,HCLTECH,TECHM,SUNPHARMA,DRREDDY,CIPLA,DIVISLAB,APOLLOHOSP,NIFTY50
25-10-2023,728.3252563,901.3260498,536.258728,344.8340454,953.8979492,3157.276367,1289.881226,178.5923462,1134.819946,1068.619629,1093.05481,1089.369141,1135.587646,3406.931152,4828.621582,19122.15039
26-10-2023,712.2159424,893.9962769,527.3885498,338.2089539,970.4709473,3107.590088,1279.901611,176.9086151,1137.405518,1043.638672,1076.858521,1071.212524,1129.112427,3370.273926,4729.662598,18857.25
27-10-2023,715.0144043,898.0301514,541.03125,339.7754211,1001.121094,3120.815186,1299.578613,178.8261871,1171.477783,1048.410278,1084.273682,1066.342285,1152.070435,3375.765137,4799.112793,19047.25
30-10-2023,722.7770386,909.9841919,544.9360962,342.7287903,987.5932007,3146.519531,1296.47168,178.6624908,1167.830688,1054.351318,1088.078735,1056.078613,1170.907715,3367.305908,4810.588379,19140.90039
31-10-2023,718.5914917,900.5881958,545.2734985,347.098938,980.2550659,3137.392822,1288.327881,178.5689392,1178.218384,1060.198975,1062.125732,1060.464722,1177.333984,3352.415527,4788.878418,19079.59961
01-11-2023,717.618103,899.3091431,546.0930786,344.1056824,970.2214355,3101.909424,1274.911621,178.1714172,1162.474976,1052.667236,1089.054443,1056.296021,1178.560425,3310.564209,4765.678711,18989.15039
02-11-2023,718.7131348,905.1140137,551.588623,346.7597046,981.3533325,3129.33667,1289.975342,179.4341888,1175.817627,1054.936768,1105.299561,1054.725342,1185.673462,3308.239014,4855.547363,19133.25
03-11-2023,722.1199951,918.7406616,557.4217529,345.8717041,987.2436523,3120.768311,1307.769531,179.3874207,1169.215698,1071.581299,1113.348999,1039.818604,1183.564087,3315.164795,5120.03418,19230.59961
06-11-2023,727.3518066,930.2028198,553.7579956,347.2585754,1007.760315,3148.102539,1321.185669,179.9019012,1172.401001,1080.140137,1122.032593,1054.64624,1181.356567,3469.510498,5131.708496,19411.75
07-11-2023,723.8233643,932.8099976,558.9643555,349.463623,1019.241638,3138.976074,1322.127197,179.2705078,1176.325562,1086.618164,1142.473022,1067.735229,1193.473267,3444.47876,5103.789551,19406.69922
08-11-2023,725.9161377,920.6591797,559.4946289,348.4658813,1020.040344,3149.313232,1309.605347,178.7560577,1170.508057,1077.302856,1148.083008,1077.455688,1217.55957,3453.87793,5078.055176,19443.5
09-11-2023,723.0446777,922.2333374,557.614563,348.2064209,1020.240051,3117.55542,1294.353394,178.1246338,1170.369751,1062.928101,1147.595337,1078.324951,1214.76355,3461.397461,5263.503906,19395.30078
10-11-2023,725.8917236,923.4632568,558.7233276,348.3062439,1027.528076,3104.516602,1288.751343,177.399704,1159.243042,1076.357056,1150.668701,1071.795288,1216.676636,3456.153564,5244.526855,19425.34961
13-11-2023,724.5776978,919.380188,560.506958,348.855011,1023.684326,3102.747803,1293.176514,178.4988098,1164.367798,1069.92627,1149.156494,1070.797607,1217.118164,3472.775635,5187.049805,19443.55078
15-11-2023,732.1700439,925.9229126,563.7369385,353.1054077,1039.658325,3170.500977,1327.964478,183.1758423,1178.818604,1110.024414,1152.180908,1070.817383,1218.29541,3499.34082,5191.322754,19675.44922
